"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00010 0.0000 0.0000
0.00020 0.0000 0.0000
0.00030 0.0000 0.0000
0.00040 0.0000 0.0000
0.00050 0.0000 0.0000
0.00060 0.0000 0.0000
0.00070 0.0000 0.0000
0.00080 0.0000 0.0000
0.00090 0.0000 0.0000
0.00100 0.0000 0.0000
0.00110 0.0000 0.0000
0.00120 0.0000 0.0000
0.00130 0.0000 0.0000
0.00140 0.0000 0.0000
0.00150 0.0000 0.0000
0.00160 0.0000 0.0000
0.00170 0.0000 0.0000
0.00180 0.0000 0.0000
0.00190 0.0000 0.0000
0.00200 0.0000 0.0000
0.00210 0.0000 0.0006
0.00220 0.0000 0.0000
0.00230 0.0006 0.0000
0.00240 0.0000 0.0000
0.00250 0.0000 0.0006
0.00260 0.0000 0.0000
0.00270 0.0000 0.0000
0.00280 0.0006 0.0000
0.00290 0.0000 0.0000
0.00300 0.0000 0.0000
0.00310 0.0000 0.0006
0.00320 0.0000 0.0000
0.00330 0.0000 0.0000
0.00339 0.0000 0.0000
0.00349 0.0000 0.0000
0.00359 0.0006 0.0006
0.00369 0.0000 0.0000
0.00379 0.0000 0.0000
0.00389 0.0000 0.0000
0.00399 0.0000 0.0000
0.00409 0.0012 0.0006
0.00419 0.0000 0.0006
0.00429 0.0000 0.0000
0.00439 0.0000 0.0000
0.00449 0.0006 0.0000
0.00459 0.0000 0.0000
0.00469 0.0000 0.0006
0.00479 0.0006 0.0006
0.00489 0.0000 0.0000
0.00499 0.0000 0.0000
0.00509 0.0006 0.0006
0.00519 0.0000 0.0000
0.00529 0.0000 0.0006
0.00539 0.0000 0.0000
0.00549 0.0006 0.0000
0.00559 0.0000 0.0006
0.00569 0.0006 0.0006
0.00579 0.0000 0.0000
0.00589 0.0006 0.0006
0.00599 0.0000 0.0006
0.00609 0.0012 0.0000
0.00619 0.0000 0.0000
0.00629 0.0006 0.0012
0.00639 0.0000 0.0000
0.00649 0.0012 0.0006
0.00659 0.0000 0.0006
0.00669 0.0000 0.0000
0.00679 0.0006 0.0006
0.00689 0.0000 0.0006
0.00699 0.0006 0.0006
0.00709 0.0018 0.0006
0.00719 0.0000 0.0006
0.00729 0.0006 0.0006
0.00739 0.0006 0.0006
0.00749 0.0000 0.0006
0.00759 0.0012 0.0006
0.00769 0.0000 0.0006
0.00779 0.0012 0.0012
0.00789 0.0000 0.0000
0.00799 0.0012 0.0012
0.00809 0.0012 0.0006
0.00819 0.0006 0.0012
0.00829 0.0006 0.0006
0.00839 0.0006 0.0006
0.00849 0.0018 0.0012
0.00859 0.0006 0.0012
0.00869 0.0006 0.0006
0.00879 0.0012 0.0012
0.00889 0.0006 0.0012
0.00899 0.0018 0.0012
0.00909 0.0006 0.0012
0.00919 0.0012 0.0006
0.00929 0.0012 0.0018
0.00939 0.0006 0.0006
0.00949 0.0018 0.0018
0.00959 0.0012 0.0012
0.00969 0.0012 0.0012
0.00979 0.0018 0.0012
0.00989 0.0018 0.0024
0.00999 0.0012 0.0012
0.01009 0.0018 0.0012
0.01018 0.0024 0.0024
0.01028 0.0012 0.0018
0.01038 0.0024 0.0018
0.01048 0.0012 0.0018
0.01058 0.0024 0.0018
0.01068 0.0018 0.0018
0.01078 0.0018 0.0018
0.01088 0.0018 0.0024
0.01098 0.0024 0.0024
0.01108 0.0030 0.0024
0.01118 0.0024 0.0024
0.01128 0.0024 0.0024
0.01138 0.0018 0.0024
0.01148 0.0030 0.0024
0.01158 0.0024 0.0024
0.01168 0.0030 0.0030
0.01178 0.0036 0.0036
0.01188 0.0024 0.0024
0.01198 0.0036 0.0030
0.01208 0.0036 0.0030
0.01218 0.0024 0.0030
0.01228 0.0036 0.0030
0.01238 0.0036 0.0036
0.01248 0.0030 0.0030
0.01258 0.0042 0.0036
0.01268 0.0042 0.0042
0.01278 0.0042 0.0042
0.01288 0.0042 0.0036
0.01298 0.0042 0.0042
0.01308 0.0048 0.0036
0.01318 0.0042 0.0042
0.01328 0.0048 0.0042
0.01338 0.0036 0.0042
0.01348 0.0042 0.0048
0.01358 0.0072 0.0048
0.01368 0.0048 0.0054
0.01378 0.0054 0.0048
0.01388 0.0048 0.0048
0.01398 0.0048 0.0048
0.01408 0.0066 0.0060
0.01418 0.0048 0.0048
0.01428 0.0066 0.0054
0.01438 0.0066 0.0066
0.01448 0.0066 0.0060
0.01458 0.0066 0.0060
0.01468 0.0066 0.0054
0.01478 0.0072 0.0072
0.01488 0.0066 0.0060
0.01498 0.0066 0.0066
0.01508 0.0084 0.0078
0.01518 0.0078 0.0066
0.01528 0.0066 0.0066
0.01538 0.0084 0.0072
0.01548 0.0072 0.0072
0.01558 0.0090 0.0078
0.01568 0.0090 0.0078
0.01578 0.0084 0.0078
0.01588 0.0090 0.0084
0.01598 0.0078 0.0072
0.01608 0.0090 0.0084
0.01618 0.0096 0.0090
0.01628 0.0096 0.0084
0.01638 0.0096 0.0090
0.01648 0.0096 0.0090
0.01658 0.0113 0.0096
0.01668 0.0096 0.0096
0.01678 0.0101 0.0090
0.01688 0.0101 0.0096
0.01697 0.0113 0.0101
0.01707 0.0113 0.0101
0.01717 0.0107 0.0096
0.01727 0.0113 0.0113
0.01737 0.0119 0.0101
0.01747 0.0107 0.0101
0.01757 0.0131 0.0113
0.01767 0.0113 0.0113
0.01777 0.0125 0.0107
0.01787 0.0125 0.0119
0.01797 0.0125 0.0107
0.01807 0.0125 0.0119
0.01817 0.0131 0.0119
0.01827 0.0137 0.0119
0.01837 0.0137 0.0131
0.01847 0.0137 0.0125
0.01857 0.0149 0.0125
0.01867 0.0137 0.0131
0.01877 0.0143 0.0125
0.01887 0.0149 0.0137
0.01897 0.0143 0.0131
0.01907 0.0149 0.0137
0.01917 0.0149 0.0137
0.01927 0.0167 0.0143
0.01937 0.0149 0.0137
0.01947 0.0155 0.0155
0.01957 0.0167 0.0137
0.01967 0.0155 0.0143
0.01977 0.0161 0.0149
0.01987 0.0173 0.0155
0.01997 0.0173 0.0149
0.02007 0.0167 0.0161
0.02017 0.0167 0.0143
0.02027 0.0173 0.0161
0.02037 0.0179 0.0155
0.02047 0.0185 0.0167
0.02057 0.0179 0.0155
0.02067 0.0167 0.0167
0.02077 0.0191 0.0173
0.02087 0.0179 0.0155
0.02097 0.0191 0.0167
0.02107 0.0179 0.0161
0.02117 0.0191 0.0173
0.02127 0.0203 0.0185
0.02137 0.0179 0.0161
0.02147 0.0197 0.0179
0.02157 0.0197 0.0185
0.02167 0.0191 0.0173
0.02177 0.0197 0.0179
0.02187 0.0203 0.0179
0.02197 0.0197 0.0179
0.02207 0.0209 0.0191
0.02217 0.0209 0.0185
0.02227 0.0215 0.0191
0.02237 0.0197 0.0179
0.02247 0.0209 0.0197
0.02257 0.0215 0.0197
0.02267 0.0209 0.0179
0.02277 0.0221 0.0203
0.02287 0.0215 0.0197
0.02297 0.0221 0.0197
0.02307 0.0221 0.0203
0.02317 0.0221 0.0191
0.02327 0.0227 0.0209
0.02337 0.0221 0.0197
0.02347 0.0227 0.0209
0.02357 0.0233 0.0209
0.02367 0.0233 0.0209
0.02376 0.0227 0.0203
0.02386 0.0227 0.0209
0.02396 0.0233 0.0215
0.02406 0.0245 0.0227
0.02416 0.0239 0.0209
0.02426 0.0251 0.0221
0.02436 0.0251 0.0227
0.02446 0.0245 0.0221
0.02456 0.0251 0.0233
0.02466 0.0257 0.0227
0.02476 0.0245 0.0221
0.02486 0.0245 0.0221
0.02496 0.0257 0.0239
0.02506 0.0257 0.0227
0.02516 0.0263 0.0239
0.02526 0.0245 0.0221
0.02536 0.0257 0.0233
0.02546 0.0251 0.0227
0.02556 0.0257 0.0233
0.02566 0.0269 0.0245
0.02576 0.0251 0.0227
0.02586 0.0275 0.0245
0.02596 0.0263 0.0245
0.02606 0.0263 0.0233
0.02616 0.0281 0.0245
0.02626 0.0269 0.0251
0.02636 0.0275 0.0251
0.02646 0.0281 0.0245
0.02656 0.0275 0.0251
0.02666 0.0269 0.0245
0.02676 0.0281 0.0263
0.02686 0.0275 0.0239
0.02696 0.0281 0.0251
0.02706 0.0287 0.0263
0.02716 0.0281 0.0251
0.02726 0.0287 0.0257
0.02736 0.0292 0.0263
0.02746 0.0281 0.0257
0.02756 0.0292 0.0263
0.02766 0.0287 0.0263
0.02776 0.0292 0.0275
0.02786 0.0292 0.0257
0.02796 0.0310 0.0269
0.02806 0.0287 0.0275
0.02816 0.0304 0.0269
0.02826 0.0298 0.0275
0.02836 0.0310 0.0269
0.02846 0.0310 0.0287
0.02856 0.0304 0.0275
0.02866 0.0310 0.0281
0.02876 0.0298 0.0269
0.02886 0.0316 0.0287
0.02896 0.0304 0.0281
0.02906 0.0322 0.0287
0.02916 0.0310 0.0281
0.02926 0.0316 0.0287
0.02936 0.0304 0.0275
0.02946 0.0334 0.0298
0.02956 0.0304 0.0281
0.02966 0.0328 0.0292
0.02976 0.0304 0.0281
0.02986 0.0328 0.0292
0.02996 0.0322 0.0292
0.03006 0.0334 0.0298
0.03016 0.0322 0.0292
0.03026 0.0334 0.0298
0.03036 0.0334 0.0298
0.03046 0.0316 0.0292
0.03055 0.0340 0.0304
0.03065 0.0334 0.0298
0.03075 0.0328 0.0304
0.03085 0.0328 0.0298
0.03095 0.0340 0.0304
0.03105 0.0328 0.0298
0.03115 0.0358 0.0316
0.03125 0.0340 0.0304
0.03135 0.0340 0.0310
0.03145 0.0334 0.0304
0.03155 0.0346 0.0316
0.03165 0.0346 0.0310
0.03175 0.0358 0.0316
0.03185 0.0346 0.0316
0.03195 0.0346 0.0316
0.03205 0.0358 0.0316
0.03215 0.0352 0.0328
0.03225 0.0340 0.0304
0.03235 0.0364 0.0328
0.03245 0.0352 0.0322
0.03255 0.0364 0.0322
0.03265 0.0340 0.0310
0.03275 0.0370 0.0334
0.03285 0.0358 0.0322
0.03295 0.0364 0.0334
0.03305 0.0370 0.0334
0.03315 0.0358 0.0316
0.03325 0.0370 0.0334
0.03335 0.0364 0.0328
0.03345 0.0370 0.0340
0.03355 0.0370 0.0334
0.03365 0.0358 0.0322
0.03375 0.0382 0.0346
0.03385 0.0370 0.0328
0.03395 0.0376 0.0346
0.03405 0.0382 0.0340
0.03415 0.0376 0.0346
0.03425 0.0370 0.0328
0.03435 0.0382 0.0346
0.03445 0.0376 0.0340
0.03455 0.0382 0.0346
0.03465 0.0382 0.0346
0.03475 0.0382 0.0340
0.03485 0.0382 0.0340
0.03495 0.0394 0.0358
0.03505 0.0394 0.0358
0.03515 0.0376 0.0346
0.03525 0.0394 0.0352
0.03535 0.0394 0.0352
0.03545 0.0400 0.0364
0.03555 0.0388 0.0352
0.03565 0.0406 0.0364
0.03575 0.0388 0.0352
0.03585 0.0394 0.0358
0.03595 0.0394 0.0352
0.03605 0.0412 0.0376
0.03615 0.0388 0.0352
0.03625 0.0412 0.0364
0.03635 0.0406 0.0370
0.03645 0.0394 0.0364
0.03655 0.0406 0.0364
0.03665 0.0418 0.0376
0.03675 0.0406 0.0358
0.03685 0.0406 0.0376
0.03695 0.0412 0.0376
0.03705 0.0418 0.0370
0.03715 0.0412 0.0370
0.03725 0.0406 0.0376
0.03734 0.0424 0.0382
0.03744 0.0412 0.0370
0.03754 0.0430 0.0388
0.03764 0.0400 0.0370
0.03774 0.0424 0.0382
0.03784 0.0418 0.0370
0.03794 0.0442 0.0400
0.03804 0.0424 0.0388
0.03814 0.0412 0.0376
0.03824 0.0430 0.0388
0.03834 0.0424 0.0376
0.03844 0.0430 0.0400
0.03854 0.0418 0.0376
0.03864 0.0436 0.0394
0.03874 0.0424 0.0382
0.03884 0.0430 0.0388
0.03894 0.0442 0.0400
0.03904 0.0436 0.0394
0.03914 0.0424 0.0388
0.03924 0.0454 0.0400
0.03934 0.0424 0.0382
0.03944 0.0448 0.0412
0.03954 0.0418 0.0382
0.03964 0.0454 0.0412
0.03974 0.0448 0.0394
0.03984 0.0442 0.0406
0.03994 0.0442 0.0400
0.04004 0.0454 0.0406
